# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1961","06","52.84","41.44","22.63","156.12","53.49","166.03","36.02","118.65"
"1961","07","37.52","32.34","13.55","102.21","37.15","76.63","18.13","61.52"
"1961","08","27.36","26.68","11.19","57.36","26.29","137.65","22.42","34.06"
"1961","09","43.15","51.34","25.49","117.73","53.14","90.82","18.61","22.34"
"1961","10","49.56","56.4","23","110.83","53.66","69.53","21.47","41.75"
"1961","11","52.69","61.65","28.22","129.38","61.05","385.98","67.51","105.83"
"1961","12","40.81","45.08","25.24","144.47","54.30","286.64","51.77","145.38"
"1962","01","30.96","35.37","13.3","97.47","37.79","114.94","93.27","109.86"
"1962","02","22.98","34.56","13.3","68.57","32.71","235.56","66.79","83.12"
"1962","03","32.52","67.51","62.28","109.97","72.57","902.5","112.36","201.04"
"1962","04","67.07","92.17","55.57","324.31","117.08","259.68","48.19","292.95"
"1962","05","101.15","71.35","36.92","251.86","88.66","141.9","25.05","119.38"
"1962","06","53.63","41.84","16.29","93.58","41.38","259.68","18.13","52.37"
"1962","07","35.49","31.73","13.18","56.93","29.39","70.95","23.38","37.72"
"1962","08","37.52","28.5","11.56","55.63","27.03","131.97","13.12","46.51"
"1962","09","47.37","31.73","11.56","67.28","30.51","80.88","33.16","58.59"
"1962","10","34.24","34.56","24.99","91.43","40.45","221.37","40.55","137.69"
"1962","11","32.05","31.73","23.75","112.56","42.05","482.47","71.09","149.04"
"1962","12","33.61","28.7","20.51","107.82","38.67","346.24","38.17","113.15"
"1963","01","28.45","25.67","13.18","80.65","30.25","110.68","28.63","65.18"
"1963","02","21.89","22.23","10.82","59.08","24.25","103.59","31.73","38.82"
"1963","03","32.21","52.15","54.58","114.72","63.12","750.66","164.36","194.81"
"1963","04","76.61","63.27","44.01","350.62","103.11","415.77","67.03","331.77"
"1963","05","67.38","66.3","43.51","236.33","85.94","323.54","36.74","176.14"
"1963","06","59.57","37.19","16.16","137.14","46.09","78.05","17.65","58.59"
"1963","07","35.65","28.1","13.55","66.85","29.34","55.34","18.85","32.96"
"1963","08","33.93","27.89","13.3","88.84","32.71","41.15","15.74","67.01"
"1963","09","31.11","28.5","14.3","81.94","32.24","45.41","9.3","41.38"
"1963","10","27.83","22.44","12.56","66.85","26.21","4.26","2.39","21.61"
"1963","11","33.61","29.92","24.74","102.64","39.90","168.86","57.01","135.49"
"1963","12","33.61","35.37","18.15","124.63","43.86","89.4","20.75","155.63"
"1964","01","25.64","34.16","33.82","108.25","46.03","586.06","85.16","171.74"
"1964","02","22.51","29.31","22.63","101.78","38.73","280.97","30.77","155.26"
"1964","03","28.3","43.46","39.78","142.75","58.26","583.22","195.61","265.49"
"1964","04","82.55","69.33","45.38","270.83","93.66","638.56","166.27","230.33"
"1964","05","120.23","67.92","27.72","207.44","76.60","279.55","52","130.73"
"1964","06","71.29","36.18","12.31","109.11","39.73","134.81","21.23","62.98"
"1964","07","46.12","31.33","15.79","62.96","31.07","70.95","20.04","46.87"
"1964","08","45.65","33.76","23.37","73.31","36.57","387.39","45.8","56.76"
"1964","09","52.06","35.58","10.82","90.13","35.85","83.72","24.09","30.76"
"1964","10","54.88","34.97","14.05","128.95","42.95","55.34","15.98","34.42"
"1964","11","45.5","33.15","15.66","115.15","40.37","85.14","25.05","63.35"
"1964","12","39.55","44.06","40.16","165.17","62.31","630.05","100.67","168.08"
"1965","01","33.3","44.27","30.58","147.92","56.31","492.4","143.85","161.49"
"1965","02","26.11","49.12","49.48","118.17","60.42","1000.41","109.97","201.4"
"1965","03","28.61","62.05","54.58","142.75","72.53","942.23","143.61","222.28"
"1965","04","86.93","98.24","72.73","281.61","119.09","814.52","125.48","254.14"
"1965","05","122.26","82.47","36.67","300.16","101.86","178.8","37.21","114.98"
"1965","06","60.04","46.09","16.29","121.18","47.94","117.78","23.86","44.31"
"1965","07","48.78","27.89","11.93","94.45","33.14","63.86","16.46","38.08"
"1965","08","42.68","31.53","13.8","87.55","34.46","82.3","18.13","34.06"
"1965","09","62.85","56.8","18.03","106.09","51.37","52.5","27.67","53.1"
"1965","10","72.39","59.22","25.73","148.35","62.06","401.58","88.74","131.83"
"1965","11","52.37","48.51","26.98","164.74","59.88","343.4","59.64","182.73"
"1965","12","44.56","75.6","53.71","184.15","85.60","752.08","91.37","202.87"
"1966","01","36.74","61.65","32.2","173.8","69.62","275.29","51.77","130"
"1966","02","37.37","61.45","49.6","168.19","74.63","556.26","78.01","166.62"
"1966","03","60.35","82.67","55.45","216.93","94.99","615.86","84.45","315.65"
"1966","04","88.8","79.44","40.65","232.88","90.86","437.06","64.89","180.16"
"1966","05","108.5","75.6","34.56","195.79","80.86","368.95","87.07","138.79"
"1966","06","73.17","55.79","20.89","145.77","58.28","303.67","35.31","82.76"
"1966","07","41.27","28.1","8.58","59.08","26.36","119.2","33.16","36.99"
"1966","08","54.09","32.14","11.69","61.24","29.78","107.85","25.53","38.08"
"1966","09","36.27","24.05","10.44","62.53","25.57","102.17","27.67","75.8"
"1966","10","68.79","41.44","17.4","156.55","51.76","106.43","20.75","70.67"
"1966","11","48.47","51.34","41.27","211.75","73.82","669.78","144.09","139.15"
"1966","12","44.71","79.03","63.9","264.36","103.79","990.48","174.62","216.42"
"1967","01","33.46","54.17","39.78","179.84","69.53","359.01","50.1","147.94"
"1967","02","26.11","43.66","28.59","143.18","54.55","324.96","78.01","115.72"
"1967","03","36.9","64.68","52.96","141.02","72.98","620.11","106.16","151.24"
"1967","04","112.25","118.05","77.45","377.79","146.05","659.85","78.72","202.87"
"1967","05","96.62","81.06","39.53","310.94","103.90","263.94","96.61","185.66"
"1967","06","70.2","56.6","26.36","169.06","64.34","315.02","28.86","72.51"
"1967","07","43.15","35.98","13.92","82.37","35.86","177.38","20.04","41.01"
"1967","08","41.12","28.1","11.56","79.78","30.74","85.14","12.64","47.6"
"1967","09","29.71","28.1","16.04","70.73","30.83","181.64","42.7","88.62"
"1967","10","49.25","59.83","37.79","147.06","66.33","648.49","85.88","192.25"
"1967","11","48.31","77.42","47.61","222.96","90.67","530.72","98.76","235.09"
"1967","12","39.87","65.29","50.72","192.77","80.88","848.58","151","199.57"
"1968","01","32.05","55.38","34.56","148.35","63.23","370.37","86.83","120.48"
"1968","02","25.01","60.03","59.18","143.61","73.26","962.1","100.19","165.88"
"1968","03","51.75","56.4","55.32","184.15","76.70","828.71","94.47","210.92"
"1968","04","100.68","69.94","34.06","320.43","98.07","317.86","59.16","172.84"
